index,fire_id,incid_name,burn_bnd_ac,burn_bnd_lat,burn_bnd_lon,ig_date,site_no,huc8,perc_huc_burned,perc_stream_length_burned,usgs_start,usgs_end
34,OR4472312167920200817,LIONSHEAD,197732,44.776,-121.84,2020-08-17,14181500,17090005,18.842167685781785,20.43975372501675,1980-01-01T00:00:00Z,2024-11-01T00:00:00Z
36,OR4504912206220200908,RIVERSIDE,138190,45.129,-122.224,2020-09-08,14210000,17090011,16.60988040192154,11.749267144451276,2001-07-12T00:00:00Z,2024-11-01T00:00:00Z
39,OR4504912206220200908,RIVERSIDE,138190,45.129,-122.224,2020-09-08,14211010,17090011,16.60988040192154,9.196852254443604,2002-06-21T00:00:00Z,2024-11-01T00:00:00Z
75,CO4020310623920201014,EAST TROUBLESOME,188924,40.231,-105.996,2020-10-14,09058000,14010001,10.170865386738711,8.011270729872724,2006-04-21T00:00:00Z,2024-09-30T00:00:00Z
76,CO4020310623920201014,EAST TROUBLESOME,188924,40.231,-105.996,2020-10-14,09060799,14010001,10.170865386738711,5.84465986345592,2016-10-21T00:00:00Z,2024-11-01T00:00:00Z
84,NM3581210654120110626,LAS CONCHAS,150874,35.87,-106.423,2011-06-26,08317400,13020201,7.11279945514692,15.634908469114944,1980-01-01T00:00:00Z,2024-11-01T00:00:00Z
